number,rank,time_id,title,label,上榜时间,最后时间,life_span,date,date_date,date_time,charCount,title_cut
1,1,586,宿舍放布娃娃被通报批评,3.0,2019-10-26 10:24:01,2019-10-26 20:10:02,35161,2019-10-26 12:00:02,2019-10-26,12:00:02,11,宿舍 放 布娃娃 通报批评
1,2,586,王俊凯王源工作室包场少年的你,4.0,2019-10-26 11:24:02,2019-10-26 20:58:01,34439,2019-10-26 12:00:02,2019-10-26,12:00:02,14,王俊凯 王源 工作室 包场 少年
1,3,586,权志龙退伍,4.0,2019-10-26 07:18:01,2019-10-26 18:08:01,39000,2019-10-26 12:00:02,2019-10-26,12:00:02,5,权志龙 退伍
1,4,586,全明星版野狼DISCO,3.0,2019-10-26 09:52:01,2019-10-26 18:56:01,32640,2019-10-26 12:00:02,2019-10-26,12:00:02,11,全明星 版 野狼 DISCO
1,5,586,黑粉冒充肖战小号,4.0,2019-10-26 10:58:02,2019-10-26 18:02:01,25439,2019-10-26 12:00:02,2019-10-26,12:00:02,8,黑粉 冒充 肖战 小号
1,6,586,李银河赞少年的你,4.0,2019-10-26 11:36:02,2019-10-26 19:52:01,29759,2019-10-26 12:00:02,2019-10-26,12:00:02,8,李银河 赞 少年
1,7,586,巴西总统宣布将对中国游客免签,1.0,2019-10-26 10:48:01,2019-10-26 15:40:02,17521,2019-10-26 12:00:02,2019-10-26,12:00:02,14,巴西 总统 宣布 中国 游客 免签
1,8,586,章莹颖家人起诉美国学校,2.0,2019-10-26 07:54:01,2019-10-26 23:28:01,56040,2019-10-26 12:00:02,2019-10-26,12:00:02,11,章莹颖 家人 起诉 美国 学校
1,9,586,日本天价柿子两个5万元,2.0,2019-10-26 09:40:01,2019-10-26 16:50:01,25800,2019-10-26 12:00:02,2019-10-26,12:00:02,11,日本 天价 柿子 两个 5 万元
1,10,586,死亡卡车遇难者中或有一名越南女性,1.0,2019-10-26 10:04:02,2019-10-26 17:56:01,28319,2019-10-26 12:00:02,2019-10-26,12:00:02,16,死亡 卡车 遇难者 中 一名 越南 女性
1,11,586,沈梦辰邢菲 粉红女郎,4.0,2019-10-26 08:24:01,2019-10-26 18:30:01,36360,2019-10-26 12:00:02,2019-10-26,12:00:02,10,沈梦辰 邢菲   粉红 女郎
1,12,586,英货车藏尸案已逮捕4人,1.0,2019-10-26 08:52:01,2019-10-26 15:52:02,25201,2019-10-26 12:00:02,2019-10-26,12:00:02,11,英 货车 藏 尸案 已 逮捕 4 人
1,13,586,羽生结弦得分109.60,2.0,2019-10-26 10:48:01,2019-10-26 16:10:01,19320,2019-10-26 12:00:02,2019-10-26,12:00:02,12,羽生 结弦 得分 109.60
1,14,586,日本姓名拼音2020年将用先姓后名,3.0,2019-10-26 09:50:02,2019-10-26 14:12:01,15719,2019-10-26 12:00:02,2019-10-26,12:00:02,17,日本 姓名 拼音 2020 年 先姓 后名
1,15,586,马天宇帮李兰迪做早餐,4.0,2019-10-26 07:42:02,2019-10-26 15:48:01,29159,2019-10-26 12:00:02,2019-10-26,12:00:02,10,马 天宇 帮 李兰迪 做 早餐
1,16,586,67岁孕妇自然受孕产女,2.0,2019-10-26 09:16:01,2019-10-27 09:38:01,1320,2019-10-26 12:00:02,2019-10-26,12:00:02,11,67 岁 孕妇 自然 受孕 产女
1,17,586,豫章书院,2.0,2019-10-26 10:44:01,2020-07-04 18:20:02,27361,2019-10-26 12:00:02,2019-10-26,12:00:02,4,豫章 书院
1,18,586,独居老人摔倒饿了3天3夜,2.0,2019-10-26 09:18:01,2019-10-26 16:26:01,25680,2019-10-26 12:00:02,2019-10-26,12:00:02,12,独居 老人 摔倒 饿 3 天 3 夜
1,19,586,女嫌犯颜值高或逃过死刑,2.0,2019-10-26 07:14:02,2019-10-26 16:54:02,34800,2019-10-26 12:00:02,2019-10-26,12:00:02,11,女 嫌犯 颜值 高 逃过 死刑
1,20,586,少年的你片尾 卢凯彤,4.0,2019-10-26 08:32:02,2019-10-26 14:36:02,21840,2019-10-26 12:00:02,2019-10-26,12:00:02,10,少年 片尾   卢凯彤
1,21,586,儿童越胖越易受欺凌,2.0,2019-10-26 11:02:01,2019-10-26 13:56:02,10441,2019-10-26 12:00:02,2019-10-26,12:00:02,9,儿童 越胖 越易 受 欺凌
1,22,586,香港禁止起底警员及家人,1.0,2019-10-26 10:28:01,2019-10-26 15:58:02,19801,2019-10-26 12:00:02,2019-10-26,12:00:02,11,香港 禁止 起底 警员 家人
1,23,586,会穿黑色的才是时髦精,3.0,2019-10-26 09:00:02,2019-10-26 13:26:01,15959,2019-10-26 12:00:02,2019-10-26,12:00:02,10,会 穿 黑色 才 时髦 精
1,24,586,柯洁回应歧视女性,4.0,2019-10-26 08:22:01,2019-10-26 14:20:01,21480,2019-10-26 12:00:02,2019-10-26,12:00:02,8,柯洁 回应 歧视 女性
1,25,586,张翰打戏,4.0,2019-10-26 08:28:01,2019-10-26 16:40:02,29521,2019-10-26 12:00:02,2019-10-26,12:00:02,4,张翰 打戏
1,26,586,法航返航乘客称已写好遗书,1.0,2019-10-26 09:36:02,2019-10-26 14:26:01,17399,2019-10-26 12:00:02,2019-10-26,12:00:02,12,法航 返航 乘客 称 已 写 好 遗书
1,27,586,权志龙双子塔应援,4.0,2019-10-26 07:50:01,2019-10-26 13:14:01,19440,2019-10-26 12:00:02,2019-10-26,12:00:02,8,权志龙 双子塔 应援
1,28,586,王者荣耀周年庆,4.0,2019-10-26 11:48:01,2019-10-26 17:52:02,21841,2019-10-26 12:00:02,2019-10-26,12:00:02,7,王者 荣耀 周年 庆
1,29,586,15岁中学生砖头打老师被刑拘,2.0,2019-10-26 08:50:01,2019-10-26 14:20:01,19800,2019-10-26 12:00:02,2019-10-26,12:00:02,14,15 岁 中学生 砖头 老师 刑拘
1,30,586,天冷了看什么都像是火锅,3.0,2019-10-26 10:28:01,2019-10-26 13:50:02,12121,2019-10-26 12:00:02,2019-10-26,12:00:02,11,天冷 看 都 像是 火锅
1,31,586,郭敬明的点评,4.0,2019-10-26 07:28:01,2019-10-26 13:58:01,23400,2019-10-26 12:00:02,2019-10-26,12:00:02,6,郭敬明 点评
1,32,586,国航航班降落时与机场设施发生剐蹭,2.0,2019-10-26 10:22:01,2019-10-26 12:46:02,8641,2019-10-26 12:00:02,2019-10-26,12:00:02,16,国航 航班 降落 时 机场 设施 发生 剐 蹭
1,33,586,第二批英国货车事件遇难者遗体被转移,1.0,2019-10-26 07:34:01,2019-10-26 12:46:02,18721,2019-10-26 12:00:02,2019-10-26,12:00:02,17,第二批 英国 货车 事件 遇难者 遗体 转移
1,34,586,偶然发现的一天,4.0,2019-10-26 07:28:01,2019-11-14 10:44:01,11760,2019-10-26 12:00:02,2019-10-26,12:00:02,7,偶然 发现 一天
1,35,586,被吴磊张翰笑死,4.0,2019-10-25 23:58:01,2019-10-26 12:56:01,46680,2019-10-26 12:00:02,2019-10-26,12:00:02,7,吴磊 张翰笑 死
1,36,586,张兆旭体测受伤,4.0,2019-10-26 11:28:02,2019-10-26 13:50:02,8520,2019-10-26 12:00:02,2019-10-26,12:00:02,7,张兆旭 体测 受伤
1,37,586,台州一网约车司机车内死亡,2.0,2019-10-26 07:56:01,2019-10-26 12:44:01,17280,2019-10-26 12:00:02,2019-10-26,12:00:02,12,台州 一网 约 车 司机 车 内 死亡
1,38,586,周冬雨演技,4.0,2019-10-25 23:10:01,2020-10-25 10:28:01,40680,2019-10-26 12:00:02,2019-10-26,12:00:02,5,周 冬雨 演技
1,39,586,毛晓慧演的赵灵儿,4.0,2019-10-25 21:18:01,2019-10-26 12:20:02,54121,2019-10-26 12:00:02,2019-10-26,12:00:02,8,毛晓慧演 赵灵儿
1,40,586,比特币,3.0,2019-10-26 08:24:01,2020-11-26 14:34:02,22201,2019-10-26 12:00:02,2019-10-26,12:00:02,3,比特 币
1,41,586,大连男孩被曝多次尾随女性,2.0,2019-10-25 21:58:02,2019-10-26 12:38:01,52799,2019-10-26 12:00:02,2019-10-26,12:00:02,12,大连 男孩 曝 多次 尾随 女性
1,42,586,亲爱的客栈,4.0,2019-10-25 23:04:01,2020-01-11 12:52:02,49681,2019-10-26 12:00:02,2019-10-26,12:00:02,5,亲爱 客栈
1,43,586,于小彤不满角色台词少,4.0,2019-10-25 22:56:02,2019-10-26 12:18:01,48119,2019-10-26 12:00:02,2019-10-26,12:00:02,10,于小彤 不满 角色 台词 少
1,44,586,影视剧中的虎狼之词,3.0,2019-10-26 08:00:01,2019-10-26 12:20:02,15601,2019-10-26 12:00:02,2019-10-26,12:00:02,9,影视剧 中 虎狼 之词
1,45,586,环卫工人的手,2.0,2019-10-26 11:56:01,2019-10-26 12:14:02,1081,2019-10-26 12:00:02,2019-10-26,12:00:02,6,环卫工人 手
1,46,586,上海AP,3.0,2019-10-26 11:56:01,2019-10-26 12:36:01,2400,2019-10-26 12:00:02,2019-10-26,12:00:02,4,上海 AP
1,47,586,吻别作曲殷文琦去世,4.0,2019-10-26 10:54:01,2019-10-26 12:32:01,5880,2019-10-26 12:00:02,2019-10-26,12:00:02,9,吻别 作曲 殷文琦 去世
1,48,586,大连男孩作案后聊天记录曝光,1.0,2019-10-25 19:28:01,2019-10-26 12:16:01,60480,2019-10-26 12:00:02,2019-10-26,12:00:02,13,大连 男孩 作案 后 聊天记录 曝光
1,49,586,中美经贸高级别磋商双方牵头人通话,1.0,2019-10-26 11:12:01,2019-10-26 12:00:02,2881,2019-10-26 12:00:02,2019-10-26,12:00:02,16,中 美 经贸 高级别 磋商 双方 牵头 人 通话
3,1,1306,易烊千玺经历了什么,4.0,2019-10-27 08:00:02,2019-10-27 19:42:01,42119,2019-10-27 12:00:02,2019-10-27,12:00:02,9,易 烊 千玺 经历
3,2,1306,英货车藏尸案调查重点转向越南,2.0,2019-10-27 09:40:02,2019-10-28 06:04:02,73440,2019-10-27 12:00:02,2019-10-27,12:00:02,14,英 货车 藏 尸案 调查 重点 转向 越南
3,3,1306,周震南用2G上网,4.0,2019-10-27 10:14:01,2019-10-27 21:10:02,39361,2019-10-27 12:00:02,2019-10-27,12:00:02,8,周震南用 2G 上网
3,4,1306,高考数学只考了124分,3.0,2019-10-27 10:58:01,2019-10-27 20:36:02,34681,2019-10-27 12:00:02,2019-10-27,12:00:02,11,高考 数学 只考 124 分
3,5,1306,肖战浴缸照,4.0,2019-10-27 11:32:01,2019-10-27 20:02:01,30600,2019-10-27 12:00:02,2019-10-27,12:00:02,5,肖战 浴缸
3,6,1306,越南总理下令调查英货车藏尸案,1.0,2019-10-27 11:34:01,2019-10-27 16:18:01,17040,2019-10-27 12:00:02,2019-10-27,12:00:02,14,越南 总理 下令 调查 英 货车 藏 尸案
3,7,1306,黛玉说南京话就完了,3.0,2019-10-27 11:14:01,2019-10-27 16:44:01,19800,2019-10-27 12:00:02,2019-10-27,12:00:02,9,黛玉 说 南京 话 完
3,8,1306,校园霸凌,2.0,2019-10-27 07:20:01,2019-10-28 05:56:02,81361,2019-10-27 12:00:02,2019-10-27,12:00:02,4,校园 霸凌
3,9,1306,SKT 预测,4.0,2019-10-27 08:18:01,2019-10-27 13:40:01,19320,2019-10-27 12:00:02,2019-10-27,12:00:02,6,SKT   预测
3,10,1306,小北对陈念的感情,4.0,2019-10-27 07:20:01,2019-10-27 14:42:02,26521,2019-10-27 12:00:02,2019-10-27,12:00:02,8,小北 陈念 感情
3,11,1306,大连遇害女童,1.0,2019-10-27 09:28:01,2019-10-27 20:34:02,39961,2019-10-27 12:00:02,2019-10-27,12:00:02,6,大连 遇害 女童
3,12,1306,周冬雨哭戏,4.0,2019-10-27 10:24:01,2019-10-27 14:26:01,14520,2019-10-27 12:00:02,2019-10-27,12:00:02,5,周 冬雨 哭戏
3,13,1306,光头警长向部分香港年轻人喊话,1.0,2019-10-27 11:00:01,2019-10-27 14:50:02,13801,2019-10-27 12:00:02,2019-10-27,12:00:02,14,光头 警长 部分 香港 年轻人 喊话
3,14,1306,英格拉姆35分,4.0,2019-10-27 11:42:01,2019-10-27 13:56:01,8040,2019-10-27 12:00:02,2019-10-27,12:00:02,7,英 格拉姆 35 分
3,15,1306,在穿着上拿到中老年高铁的车票,3.0,2019-10-27 07:50:01,2019-10-27 14:50:02,25201,2019-10-27 12:00:02,2019-10-27,12:00:02,14,穿着 上 拿到 中老年 高铁 车票
3,16,1306,67岁产妇子女未现身病房,3.0,2019-10-27 10:32:02,2019-10-27 17:28:01,24959,2019-10-27 12:00:02,2019-10-27,12:00:02,12,67 岁 产妇 子女 未 现身 病房
3,17,1306,刘宪华街头表演,4.0,2019-10-27 09:56:01,2019-10-27 17:46:02,28201,2019-10-27 12:00:02,2019-10-27,12:00:02,7,刘宪华 街头 表演
3,18,1306,rng小虎,4.0,2019-10-27 09:38:01,2019-10-27 15:34:01,21360,2019-10-27 12:00:02,2019-10-27,12:00:02,5,rng 小虎
3,19,1306,元气少女缘结神连载决定,3.0,2019-10-27 10:38:01,2019-10-27 15:24:01,17160,2019-10-27 12:00:02,2019-10-27,12:00:02,11,元气 少女 缘 结神 连载 决定
3,20,1306,少年的你花絮,4.0,2019-10-27 08:22:02,2019-10-27 13:36:01,18839,2019-10-27 12:00:02,2019-10-27,12:00:02,6,少年 花絮
